"landtype","spp","DOMName","poolID","amountAtT0"
59,"BETU.PAP","Sng_Oth",9,1
59,"BETU.PAP","Extra",10,0
65,"BETU.PAP","VF_A",1,15
65,"BETU.PAP","VF_B",2,6
65,"BETU.PAP","Fast_A",3,9
65,"BETU.PAP","Fast_B",4,6
65,"BETU.PAP","MED",5,26
65,"BETU.PAP","Slow_A",6,141
65,"BETU.PAP","Slow_B",7,424
65,"BETU.PAP","Sng_Stem",8,8
65,"BETU.PAP","Sng_Oth",9,1
65,"BETU.PAP","Extra",10,0
66,"BETU.PAP","VF_A",1,18
66,"BETU.PAP","VF_B",2,7
66,"BETU.PAP","Fast_A",3,11
66,"BETU.PAP","Fast_B",4,7
66,"BETU.PAP","MED",5,30
66,"BETU.PAP","Slow_A",6,161
66,"BETU.PAP","Slow_B",7,475
66,"BETU.PAP","Sng_Stem",8,9
66,"BETU.PAP","Sng_Oth",9,2
66,"BETU.PAP","Extra",10,0
67,"BETU.PAP","VF_A",1,10
67,"BETU.PAP","VF_B",2,4
67,"BETU.PAP","Fast_A",3,6
67,"BETU.PAP","Fast_B",4,4
67,"BETU.PAP","MED",5,15
67,"BETU.PAP","Slow_A",6,101
67,"BETU.PAP","Slow_B",7,318
67,"BETU.PAP","Sng_Stem",8,4
67,"BETU.PAP","Sng_Oth",9,0
67,"BETU.PAP","Extra",10,0
68,"BETU.PAP","VF_A",1,18
68,"BETU.PAP","VF_B",2,8
68,"BETU.PAP","Fast_A",3,11
68,"BETU.PAP","Fast_B",4,9
68,"BETU.PAP","MED",5,25
68,"BETU.PAP","Slow_A",6,192
68,"BETU.PAP","Slow_B",7,599
68,"BETU.PAP","Sng_Stem",8,7
68,"BETU.PAP","Sng_Oth",9,0
68,"BETU.PAP","Extra",10,0
8,"FAGU.GRA","VF_A",1,0
8,"FAGU.GRA","VF_B",2,0
8,"FAGU.GRA","Fast_A",3,0
8,"FAGU.GRA","Fast_B",4,0
8,"FAGU.GRA","MED",5,0
8,"FAGU.GRA","Slow_A",6,0
8,"FAGU.GRA","Slow_B",7,0
8,"FAGU.GRA","Sng_Stem",8,0
8,"FAGU.GRA","Sng_Oth",9,0
8,"FAGU.GRA","Extra",10,0
9,"FAGU.GRA","VF_A",1,0
9,"FAGU.GRA","VF_B",2,0
9,"FAGU.GRA","Fast_A",3,0
9,"FAGU.GRA","Fast_B",4,0
9,"FAGU.GRA","MED",5,0
9,"FAGU.GRA","Slow_A",6,0
9,"FAGU.GRA","Slow_B",7,0
9,"FAGU.GRA","Sng_Stem",8,0
9,"FAGU.GRA","Sng_Oth",9,0
9,"FAGU.GRA","Extra",10,0
16,"FAGU.GRA","VF_A",1,34
16,"FAGU.GRA","VF_B",2,4
16,"FAGU.GRA","Fast_A",3,102
16,"FAGU.GRA","Fast_B",4,8
16,"FAGU.GRA","MED",5,228
16,"FAGU.GRA","Slow_A",6,776
16,"FAGU.GRA","Slow_B",7,1798
16,"FAGU.GRA","Sng_Stem",8,153
16,"FAGU.GRA","Sng_Oth",9,46
16,"FAGU.GRA","Extra",10,0
17,"FAGU.GRA","VF_A",1,38
17,"FAGU.GRA","VF_B",2,4
17,"FAGU.GRA","Fast_A",3,100
17,"FAGU.GRA","Fast_B",4,8
17,"FAGU.GRA","MED",5,189
17,"FAGU.GRA","Slow_A",6,736
17,"FAGU.GRA","Slow_B",7,1684
17,"FAGU.GRA","Sng_Stem",8,125
17,"FAGU.GRA","Sng_Oth",9,48
17,"FAGU.GRA","Extra",10,0
58,"FAGU.GRA","VF_A",1,31
58,"FAGU.GRA","VF_B",2,4
58,"FAGU.GRA","Fast_A",3,90
58,"FAGU.GRA","Fast_B",4,8
58,"FAGU.GRA","MED",5,250
58,"FAGU.GRA","Slow_A",6,742
58,"FAGU.GRA","Slow_B",7,1725
58,"FAGU.GRA","Sng_Stem",8,153
58,"FAGU.GRA","Sng_Oth",9,35
58,"FAGU.GRA","Extra",10,0
59,"FAGU.GRA","VF_A",1,26
59,"FAGU.GRA","VF_B",2,4
59,"FAGU.GRA","Fast_A",3,80
59,"FAGU.GRA","Fast_B",4,9
59,"FAGU.GRA","MED",5,190
59,"FAGU.GRA","Slow_A",6,727
59,"FAGU.GRA","Slow_B",7,1737
59,"FAGU.GRA","Sng_Stem",8,120
59,"FAGU.GRA","Sng_Oth",9,30
59,"FAGU.GRA","Extra",10,0
65,"FAGU.GRA","VF_A",1,16
65,"FAGU.GRA","VF_B",2,2
65,"FAGU.GRA","Fast_A",3,36
65,"FAGU.GRA","Fast_B",4,4
65,"FAGU.GRA","MED",5,160
65,"FAGU.GRA","Slow_A",6,371
65,"FAGU.GRA","Slow_B",7,914
65,"FAGU.GRA","Sng_Stem",8,77
65,"FAGU.GRA","Sng_Oth",9,14
65,"FAGU.GRA","Extra",10,0
66,"FAGU.GRA","VF_A",1,20
66,"FAGU.GRA","VF_B",2,2
66,"FAGU.GRA","Fast_A",3,51
66,"FAGU.GRA","Fast_B",4,4
66,"FAGU.GRA","MED",5,225
66,"FAGU.GRA","Slow_A",6,519
66,"FAGU.GRA","Slow_B",7,1235
66,"FAGU.GRA","Sng_Stem",8,109
66,"FAGU.GRA","Sng_Oth",9,18
66,"FAGU.GRA","Extra",10,0
67,"FAGU.GRA","VF_A",1,31
67,"FAGU.GRA","VF_B",2,3
67,"FAGU.GRA","Fast_A",3,80
67,"FAGU.GRA","Fast_B",4,6
67,"FAGU.GRA","MED",5,234
67,"FAGU.GRA","Slow_A",6,565
67,"FAGU.GRA","Slow_B",7,1298
67,"FAGU.GRA","Sng_Stem",8,137
67,"FAGU.GRA","Sng_Oth",9,33
67,"FAGU.GRA","Extra",10,0
68,"FAGU.GRA","VF_A",1,26
68,"FAGU.GRA","VF_B",2,3
68,"FAGU.GRA","Fast_A",3,69
68,"FAGU.GRA","Fast_B",4,7
68,"FAGU.GRA","MED",5,227
68,"FAGU.GRA","Slow_A",6,590
68,"FAGU.GRA","Slow_B",7,1420
68,"FAGU.GRA","Sng_Stem",8,121
68,"FAGU.GRA","Sng_Oth",9,27
68,"FAGU.GRA","Extra",10,0
8,"LARI.LAR","VF_A",1,7
8,"LARI.LAR","VF_B",2,1
8,"LARI.LAR","Fast_A",3,1
8,"LARI.LAR","Fast_B",4,1
8,"LARI.LAR","MED",5,0
8,"LARI.LAR","Slow_A",6,13
8,"LARI.LAR","Slow_B",7,30
8,"LARI.LAR","Sng_Stem",8,0
8,"LARI.LAR","Sng_Oth",9,0
8,"LARI.LAR","Extra",10,0
9,"LARI.LAR","VF_A",1,4
9,"LARI.LAR","VF_B",2,0
9,"LARI.LAR","Fast_A",3,1
9,"LARI.LAR","Fast_B",4,0
9,"LARI.LAR","MED",5,0
9,"LARI.LAR","Slow_A",6,10
9,"LARI.LAR","Slow_B",7,24
9,"LARI.LAR","Sng_Stem",8,0
9,"LARI.LAR","Sng_Oth",9,0
9,"LARI.LAR","Extra",10,0
16,"LARI.LAR","VF_A",1,8
16,"LARI.LAR","VF_B",2,2
16,"LARI.LAR","Fast_A",3,13
16,"LARI.LAR","Fast_B",4,2
16,"LARI.LAR","MED",5,25
16,"LARI.LAR","Slow_A",6,86
16,"LARI.LAR","Slow_B",7,213
16,"LARI.LAR","Sng_Stem",8,16
16,"LARI.LAR","Sng_Oth",9,4
16,"LARI.LAR","Extra",10,0
17,"LARI.LAR","VF_A",1,14
17,"LARI.LAR","VF_B",2,3
17,"LARI.LAR","Fast_A",3,31
17,"LARI.LAR","Fast_B",4,3
17,"LARI.LAR","MED",5,52
17,"LARI.LAR","Slow_A",6,150
17,"LARI.LAR","Slow_B",7,344
17,"LARI.LAR","Sng_Stem",8,39
17,"LARI.LAR","Sng_Oth",9,14
17,"LARI.LAR","Extra",10,0
58,"LARI.LAR","VF_A",1,4
58,"LARI.LAR","VF_B",2,1
58,"LARI.LAR","Fast_A",3,2
58,"LARI.LAR","Fast_B",4,1
58,"LARI.LAR","MED",5,3
58,"LARI.LAR","Slow_A",6,29
58,"LARI.LAR","Slow_B",7,96
58,"LARI.LAR","Sng_Stem",8,1
58,"LARI.LAR","Sng_Oth",9,0
58,"LARI.LAR","Extra",10,0
59,"LARI.LAR","VF_A",1,0
59,"LARI.LAR","VF_B",2,0
59,"LARI.LAR","Fast_A",3,0
59,"LARI.LAR","Fast_B",4,0
59,"LARI.LAR","MED",5,0
59,"LARI.LAR","Slow_A",6,5
59,"LARI.LAR","Slow_B",7,18
59,"LARI.LAR","Sng_Stem",8,0
